用户		电影		预测rating		实际rating
48		54775		2.5		4.5 
78		4223		2.5		5.0 
190		5039		2.5		4.0 
190		4993		4.5		5.0 
190		7153		4.5		5.0 
325		34162		4.0		3.0 
325		628		3.5		5.0 
477		54001		4.5		4.0 
477		1274		4.5		5.0 
498		6346		4.0		3.5 
533		1950		3.0		4.5 
533		51077		2.0		1.5 
545		2797		2.5		4.0 
548		296		2.5		4.0 
580		370		4.0		5.0 
622		47610		5.0		5.0 
622		1391		3.5		4.0 
622		1073		4.0		4.5 
622		593		5.0		5.0 
622		1704		5.0		5.0 
622		32587		5.0		5.0 
622		58078		5.0		5.0 
622		1101		4.5		4.5 
622		5989		5.0		5.0 
622		60072		5.0		5.0 
622		54745		4.0		5.0 
622		44665		5.0		5.0 
622		628		5.0		5.0 
622		47		5.0		5.0 
622		2858		5.0		5.0 
622		377		5.0		5.0 
622		55908		5.0		5.0 
622		3147		5.0		5.0 
622		39444		3.5		5.0 
636		1876		3.0		3.0 
636		1223		4.5		5.0 
783		3623		2.5		2.0 
788		5955		5.0		5.0 
788		3916		4.5		4.5 
788		42418		5.0		5.0 
788		53953		4.0		4.5 
922		6373		3.5		4.0 
1035		6934		4.0		4.5 
1122		1344		4.5		5.0 
1164		8014		5.0		5.0 
1174		1101		3.0		2.0 
1174		648		3.0		3.0 
1224		1101		4.0		3.5 
1224		1610		4.0		5.0 
1224		36517		4.5		4.0 
1267		2872		2.5		5.0 
1355		6934		3.0		3.5 
1355		32587		4.5		4.0 
1355		1179		2.5		4.0 
1392		8950		4.0		4.0 
1436		2478		2.5		4.0 
1496		54286		5.0		5.0 
1504		3786		2.5		4.0 
1510		6058		4.0		4.0 
1510		1059		5.0		4.0 
1632		8376		5.0		3.0 
1632		2357		4.5		5.0 
1632		33896		4.5		4.0 
1632		2959		4.5		4.0 
1632		44709		3.5		4.5 
1632		52885		4.0		3.0 
1632		49272		4.5		3.5 
1632		46948		4.5		4.0 
1632		47629		4.5		3.5 
1663		5064		4.5		4.5 
1663		35836		4.5		4.5 
1724		31804		4.0		4.0 
1724		51709		4.0		2.5 
1751		1276		4.5		4.0 
1751		1136		3.5		4.0 
1751		3793		3.5		3.5 
1751		471		2.5		3.5 
1751		6350		4.0		4.0 
1751		4881		3.5		3.5 
1751		2409		3.5		3.0 
1751		3421		3.0		4.5 
1751		1250		3.5		4.5 
1751		1077		3.0		4.0 
1751		750		3.5		3.5 
1751		5299		2.5		3.0 
1751		2942		3.0		2.0 
1751		26776		3.5		4.0 
1751		5267		3.0		3.5 
1751		4220		2.5		3.5 
1751		1080		3.5		3.5 
1751		6993		3.5		3.0 
